gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,81.36363636363636,18.0,40.56145220475566,0.0,0,82.0,28.42,2.0,19.704913092931925,0.0,0,72.0,27.1,1.0,16.729913329123974,0.0,0,inf,30.612244897959183,1.0,78.82551548121205,0.0,0,inf,79.8048780487805,12.0,43.89745229131247,0.0,0
inf,81.21005557671027,18.0,40.70750429209232,0.04,0.1,82.0,26.712450819981573,2.0,19.906195032285837,0.78,0.1,72.0,23.125198753395985,1.0,14.63666514032162,0.96,0.1,inf,30.612244897959183,1.0,78.82551548121205,0.96,0.1,inf,78.86901565081531,4.56139832090235,44.756206690536104,0.18,0.1
inf,81.01751740627164,18.0,40.922503363695455,0.06,0.2,82.0,25.61224219541573,2.0,19.519574456992064,0.94,0.2,69.82534663341646,21.966716012039043,1.0,14.008059396714604,1.0,0.2,inf,30.612244897959183,1.0,78.82551548121205,0.96,0.2,inf,75.706272504262,3.0,42.53696802218445,0.36,0.2
inf,80.89818626850676,18.0,41.01232368665028,0.16,0.30000000000000004,82.0,24.064176413580814,2.0,18.172522889987437,0.98,0.30000000000000004,54.076568433999945,21.068493680139888,1.0,12.621923296725702,1.0,0.30000000000000004,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.30000000000000004,inf,74.02846100775884,3.0,42.37491211032593,0.48,0.30000000000000004
inf,80.61857251130711,18.0,41.160972514360104,0.18,0.4,82.0,22.856524572478694,2.0,17.499041884464386,0.98,0.4,53.74047897690053,20.42021161263908,1.0,11.910260817280653,1.0,0.4,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.4,inf,72.49933329195831,3.0,42.072951332208376,0.62,0.4
inf,80.4639444651909,18.0,41.224279071284755,0.28,0.5,82.0,22.302255734284387,2.0,17.259522586482184,0.98,0.5,53.404389519801114,19.89065134270234,1.0,11.66692039080684,1.0,0.5,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.5,inf,71.1139674004422,3.0,42.19094556021773,0.7,0.5
inf,80.34465203765187,18.0,41.2164668367824,0.38,0.6,82.0,21.979978102654126,2.0,17.042761572208633,0.98,0.6,53.0683000627017,19.50471530122223,1.0,11.512268030754717,1.0,0.6,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.6,inf,70.41463414634147,3.0,41.251149642372035,0.78,0.6
inf,80.18464217988107,18.0,41.20358382716391,0.4,0.7,61.118126360022686,21.232857767390552,2.0,15.530507478827463,1.0,0.7,41.0,18.924927269173274,1.0,10.6804544382004,1.0,0.7,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.7,inf,70.41463414634147,3.0,41.251149642372035,0.8,0.7
inf,79.94283155940792,18.0,41.16605886881024,0.42,0.7999999999999999,58.94558699810631,20.566560028136657,2.0,14.471891352572781,1.0,0.7999999999999999,41.0,18.341026970310555,1.0,10.274463397265027,1.0,0.7999999999999999,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.7999999999999999,inf,70.41463414634147,3.0,41.251149642372035,0.82,0.7999999999999999
inf,79.34747140999986,18.0,40.452849904646776,0.46,0.8999999999999999,57.897400085088414,20.338970131863352,2.0,14.247322500264161,1.0,0.8999999999999999,41.0,18.22166373708702,1.0,10.238409674664172,1.0,0.8999999999999999,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.8999999999999999,inf,70.41463414634147,3.0,41.251149642372035,0.82,0.8999999999999999
inf,78.37970304568732,18.0,39.49124096365649,0.5,0.9999999999999999,56.84921317207053,20.142634802314706,2.0,14.015099334446345,1.0,0.9999999999999999,41.0,18.182563828135212,1.0,10.232603897801985,1.0,0.9999999999999999,inf,30.612244897959183,1.0,78.82551548121205,0.98,0.9999999999999999,inf,70.41463414634147,3.0,41.251149642372035,0.82,0.9999999999999999
inf,77.35811616118202,18.0,38.83050130434269,0.56,1.0999999999999999,55.80102625905264,19.946299472766064,2.0,13.796983705512105,1.0,1.0999999999999999,41.0,18.1436319014398,1.0,10.23065007953677,1.0,1.0999999999999999,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.0999999999999999,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.0999999999999999
inf,76.40063797339056,18.0,38.43297202749304,0.6,1.2,54.752839346034754,19.758914681281848,2.0,13.60617356616029,1.0,1.2,41.0,18.12278698455686,1.0,10.23678992193779,1.0,1.2,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.2,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.2
inf,75.42329229181904,18.0,38.13500250103528,0.6,1.3,53.70465243301686,19.581991795290065,2.0,13.42652973775433,1.0,1.3,41.0,18.10824264470032,1.0,10.24579345700696,1.0,1.3,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.3,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.3
inf,74.32295596717132,18.0,38.10013869914208,0.6,1.4000000000000001,52.656465519998974,19.432946084816532,2.0,13.245643282108944,1.0,1.4000000000000001,41.0,18.1,1.0,10.251341375644458,1.0,1.4000000000000001,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.4000000000000001,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.4000000000000001
inf,73.25839917016334,18.0,38.27177064053702,0.62,1.5000000000000002,51.60827860698109,19.31122448363357,2.0,13.09238857694305,1.0,1.5000000000000002,41.0,18.1,1.0,10.251341375644458,1.0,1.5000000000000002,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.5000000000000002,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.5000000000000002
inf,72.4310219951426,18.0,38.5019627784652,0.66,1.6000000000000003,50.5600916939632,19.200262801106533,2.0,12.952450431760068,1.0,1.6000000000000003,41.0,18.1,1.0,10.251341375644458,1.0,1.6000000000000003,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.6000000000000003,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.6000000000000003
inf,71.65810670631295,18.0,38.79108302228843,0.7,1.7000000000000004,50.01780226485869,19.090356190526634,2.0,12.82090195254592,1.0,1.7000000000000004,41.0,18.1,1.0,10.251341375644458,1.0,1.7000000000000004,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.7000000000000004,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.7000000000000004
inf,70.20412443009576,18.0,38.403994959576025,0.72,1.8000000000000005,48.46371786792742,18.78644331659266,2.0,12.29188948346402,1.0,1.8000000000000005,41.0,18.1,1.0,10.251341375644458,1.0,1.8000000000000005,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.8000000000000005,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.8000000000000005
inf,68.74876163922949,13.424899915343829,38.59755776545804,0.78,1.9000000000000006,47.41553095490953,18.55495512967706,2.0,11.989242212029579,1.0,1.9000000000000006,41.0,18.1,1.0,10.251341375644458,1.0,1.9000000000000006,inf,30.612244897959183,1.0,78.82551548121205,0.98,1.9000000000000006,inf,70.41463414634147,3.0,41.251149642372035,0.82,1.9000000000000006
inf,67.65194021928701,11.0,39.05817539316801,0.8,2.0000000000000004,47.0,18.44719546052791,2.0,11.882906311541422,1.0,2.0000000000000004,41.0,18.1,1.0,10.251341375644458,1.0,2.0000000000000004,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.0000000000000004,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.0000000000000004
inf,66.27504301550657,11.0,39.45069856328897,0.8,2.1000000000000005,47.0,18.357405838138764,2.0,11.792938126180134,1.0,2.1000000000000005,41.0,18.1,1.0,10.251341375644458,1.0,2.1000000000000005,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.1000000000000005,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.1000000000000005
inf,66.06914727968166,11.0,39.32334973336397,0.86,2.2000000000000006,47.0,18.281994125717137,2.0,11.715346877063475,1.0,2.2000000000000006,41.0,18.1,1.0,10.251341375644458,1.0,2.2000000000000006,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.2000000000000006,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.2000000000000006
inf,65.9746612979467,11.0,39.23958939365871,0.86,2.3000000000000007,47.0,18.20658241329551,2.0,11.644307117570854,1.0,2.3000000000000007,41.0,18.1,1.0,10.251341375644458,1.0,2.3000000000000007,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.3000000000000007,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.3000000000000007
inf,65.89206721635968,11.0,39.19429944090663,0.86,2.400000000000001,47.0,18.131170700873888,2.0,11.579939423118075,1.0,2.400000000000001,41.0,18.1,1.0,10.251341375644458,1.0,2.400000000000001,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.400000000000001,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.400000000000001
inf,65.88636363636364,11.0,39.198339429746085,0.88,2.500000000000001,47.0,18.05575898845226,2.0,11.522355611342654,1.0,2.500000000000001,41.0,18.1,1.0,10.251341375644458,1.0,2.500000000000001,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.500000000000001,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.500000000000001
inf,65.88636363636364,11.0,39.198339429746085,0.88,2.600000000000001,47.0,18.011728724932187,2.0,11.477727615473352,1.0,2.600000000000001,41.0,18.1,1.0,10.251341375644458,1.0,2.600000000000001,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.600000000000001,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.600000000000001
inf,65.88636363636364,11.0,39.198339429746085,0.88,2.700000000000001,47.0,17.970656710564985,2.0,11.43702238782879,1.0,2.700000000000001,41.0,18.1,1.0,10.251341375644458,1.0,2.700000000000001,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.700000000000001,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.700000000000001
inf,65.88636363636364,11.0,39.198339429746085,0.88,2.800000000000001,47.0,17.937041026669952,2.0,11.411270722407501,1.0,2.800000000000001,41.0,18.1,1.0,10.251341375644458,1.0,2.800000000000001,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.800000000000001,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.800000000000001
inf,65.88636363636364,11.0,39.198339429746085,0.88,2.9000000000000012,47.0,17.92434951287764,2.0,11.423095426962933,1.0,2.9000000000000012,41.0,18.1,1.0,10.251341375644458,1.0,2.9000000000000012,inf,30.612244897959183,1.0,78.82551548121205,0.98,2.9000000000000012,inf,70.41463414634147,3.0,41.251149642372035,0.82,2.9000000000000012
inf,65.88636363636364,11.0,39.198339429746085,0.88,3.0000000000000013,47.0,17.921184735812908,2.0,11.424473610513969,1.0,3.0000000000000013,41.0,18.1,1.0,10.251341375644458,1.0,3.0000000000000013,inf,30.612244897959183,1.0,78.82551548121205,0.98,3.0000000000000013,inf,70.41463414634147,3.0,41.251149642372035,0.82,3.0000000000000013
inf,65.88636363636364,11.0,39.198339429746085,0.88,3.1000000000000014,47.0,17.92,2.0,11.424254899117054,1.0,3.1000000000000014,41.0,18.1,1.0,10.251341375644458,1.0,3.1000000000000014,inf,30.612244897959183,1.0,78.82551548121205,0.98,3.1000000000000014,inf,70.41463414634147,3.0,41.251149642372035,0.82,3.1000000000000014
inf,65.88636363636364,11.0,39.198339429746085,0.88,3.2000000000000015,47.0,17.92,2.0,11.424254899117054,1.0,3.2000000000000015,41.0,18.1,1.0,10.251341375644458,1.0,3.2000000000000015,inf,30.612244897959183,1.0,78.82551548121205,0.98,3.2000000000000015,inf,70.41463414634147,3.0,41.251149642372035,0.82,3.2000000000000015
inf,65.88636363636364,11.0,39.198339429746085,0.88,3.3000000000000016,47.0,17.92,2.0,11.424254899117054,1.0,3.3000000000000016,41.0,18.1,1.0,10.251341375644458,1.0,3.3000000000000016,inf,30.612244897959183,1.0,78.82551548121205,0.98,3.3000000000000016,inf,70.41463414634147,3.0,41.251149642372035,0.82,3.3000000000000016
inf,65.88636363636364,11.0,39.198339429746085,0.88,3.4000000000000017,47.0,17.92,2.0,11.424254899117054,1.0,3.4000000000000017,41.0,18.1,1.0,10.251341375644458,1.0,3.4000000000000017,inf,30.612244897959183,1.0,78.82551548121205,0.98,3.4000000000000017,inf,70.41463414634147,3.0,41.251149642372035,0.82,3.4000000000000017
