gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,79.86266094420601,1.0,40.8034967128105,0.0,0,89.0,17.334,1.0,14.266970386175194,0.0,0,100.0,17.552,1.0,14.22417997636419,0.0,0,33.0,8.12,1.0,4.567887914561828,0.0,0,inf,77.36915887850468,8.0,38.001342601011224,0.0,0
inf,79.7831479843002,1.0,40.90920917105979,0.06,0.1,85.0,15.260987035634749,1.0,12.887513658556411,0.878,0.1,62.0,11.191778810935183,1.0,8.055073945781514,0.996,0.1,33.0,8.12,1.0,4.567887914561828,1.0,0.1,inf,76.26592801903367,8.0,38.33975088637465,0.282,0.1
inf,79.63691969850537,1.0,41.01411379810652,0.118,0.2,82.0,12.4729929339357,1.0,9.704964405292237,0.986,0.2,43.61549916933425,9.867267419787877,1.0,6.251136665225809,1.0,0.2,33.0,8.12,1.0,4.567887914561828,1.0,0.2,inf,73.86374447551347,8.0,38.10462260855351,0.494,0.2
inf,79.31992525532202,1.0,41.119726853265,0.192,0.30000000000000004,62.634299884715446,11.199237259097536,1.0,8.172819499660784,0.996,0.30000000000000004,37.60444816037348,9.275803007023121,1.0,5.405876442795228,1.0,0.30000000000000004,33.0,8.12,1.0,4.567887914561828,1.0,0.30000000000000004,inf,70.73093778687216,5.0,37.853224966813755,0.638,0.30000000000000004
inf,78.94473734599497,1.0,41.282631389994926,0.26,0.4,53.68962639928398,10.577850736277815,1.0,7.27933573420288,1.0,0.4,33.550354973250144,8.916266346482221,1.0,4.979322721916878,1.0,0.4,33.0,8.12,1.0,4.567887914561828,1.0,0.4,inf,68.80280157412048,4.0,37.62917770508459,0.75,0.4
inf,78.4692652715328,1.0,41.45928093265208,0.328,0.5,50.860526377232695,10.200757553935098,1.0,6.8012602857599305,1.0,0.5,29.93130872717639,8.746942700161283,1.0,4.7509514798307455,1.0,0.5,33.0,8.12,1.0,4.567887914561828,1.0,0.5,inf,67.4069481389062,4.0,36.78816041690025,0.808,0.5
inf,78.00388713251472,1.0,41.464278696800704,0.38,0.6,45.0,9.90982293056617,1.0,6.33056423697711,1.0,0.6,29.378480266877904,8.615569586724352,1.0,4.5764963355013295,1.0,0.6,33.0,8.12,1.0,4.567887914561828,1.0,0.6,inf,66.81485092551372,4.0,36.490260902187146,0.85,0.6
inf,77.38732874459802,1.0,41.538652949976026,0.43,0.7,45.0,9.721040887775906,1.0,6.062541887125456,1.0,0.7,28.825651806579422,8.50852761199334,1.0,4.419580474117411,1.0,0.7,33.0,8.12,1.0,4.567887914561828,1.0,0.7,inf,66.81308411214954,4.0,36.49187102953089,0.852,0.7
inf,76.95762809275531,1.0,41.58427357121685,0.476,0.7999999999999999,45.0,9.601968502995515,1.0,5.9248503971775515,1.0,0.7999999999999999,28.272823346280937,8.422495588665054,1.0,4.307034090155807,1.0,0.7999999999999999,33.0,8.12,1.0,4.567887914561828,1.0,0.7999999999999999,inf,66.81308411214954,4.0,36.49187102953089,0.856,0.7999999999999999
inf,76.3668991655469,1.0,41.406652145744964,0.51,0.8999999999999999,45.0,9.483770458638238,1.0,5.804167380850145,1.0,0.8999999999999999,28.0,8.382571405011074,1.0,4.258673458373355,1.0,0.8999999999999999,33.0,8.12,1.0,4.567887914561828,1.0,0.8999999999999999,inf,66.81308411214954,4.0,36.49187102953089,0.856,0.8999999999999999
