gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,65.61111111111111,5.0,38.93104857578173,0.0,0,154.0,55.48,4.0,38.143539426749584,0.0,0,159.0,64.36,3.0,38.04248151737739,0.0,0,350.0,57.04,3.0,52.81021113383282,0.0,0,inf,67.26666666666667,4.0,43.493243408858596,0.0,0
inf,65.61111111111111,5.0,38.93104857578173,0.02,0.1,154.0,54.3106830615761,4.0,38.856590328176296,0.36,0.1,159.0,63.000514133872166,3.0,38.62350430309872,0.42,0.1,350.0,57.04,3.0,52.81021113383282,0.98,0.1,inf,66.33059151745573,3.0,43.71115035406562,0.16,0.1
inf,65.44839781888773,5.0,39.03730839095631,0.1,0.2,154.0,53.91587611676287,1.0,39.191580490067736,0.56,0.2,159.0,60.74973352247403,3.0,38.87635916755143,0.78,0.2,350.0,57.04,3.0,52.81021113383282,1.0,0.2,inf,62.33980555581494,3.0,43.035192183796546,0.24,0.2
inf,65.31751540930998,5.0,39.13733158323393,0.12,0.30000000000000004,154.0,52.93382185916808,1.0,37.64282963990685,0.74,0.30000000000000004,159.0,57.531325634400346,3.0,37.850838177882295,0.88,0.30000000000000004,350.0,57.04,3.0,52.81021113383282,1.0,0.30000000000000004,inf,61.08685987514947,3.0,42.618091219762896,0.34,0.30000000000000004
inf,65.30555555555556,5.0,39.14561096757453,0.16,0.4,154.0,51.79176182835204,1.0,37.24225614788042,0.82,0.4,157.84965725856992,54.47123271403296,3.0,36.5539865323818,0.98,0.4,350.0,57.04,3.0,52.81021113383282,1.0,0.4,inf,60.29573798022634,3.0,42.952901010944316,0.42,0.4
inf,64.6693208085162,5.0,37.851538282899035,0.22,0.5,154.0,51.08429289701882,1.0,36.55941525372757,0.86,0.5,155.78271009665067,52.444230337916295,3.0,35.55951380152485,0.98,0.5,350.0,57.04,3.0,52.81021113383282,1.0,0.5,inf,60.126455686437225,3.0,43.01130881580621,0.46,0.5
inf,63.61671235451851,5.0,36.36098054057527,0.3,0.6,154.0,49.39599778557037,1.0,35.82243823923351,0.9,0.6,153.7157629347314,51.39112578846626,3.0,34.70747523149384,1.0,0.6,350.0,57.04,3.0,52.81021113383282,1.0,0.6,inf,60.06666666666667,3.0,43.058822815100534,0.56,0.6
inf,61.55448463488301,5.0,33.678811535895846,0.36,0.7,144.35938114797762,48.47488307874709,1.0,34.759838047752375,0.94,0.7,151.64881577281213,50.69943178469533,3.0,33.73446133608877,1.0,0.7,350.0,57.04,3.0,52.81021113383282,1.0,0.7,inf,60.06666666666667,3.0,43.058822815100534,0.6,0.7
inf,59.708104849719575,5.0,32.432464877131586,0.38,0.7999999999999999,139.21520570431983,47.691659680461186,1.0,33.950184382324956,0.98,0.7999999999999999,149.58186861089285,50.12991543410466,3.0,32.905010305623094,1.0,0.7999999999999999,350.0,57.04,3.0,52.81021113383282,1.0,0.7999999999999999,inf,60.06666666666667,3.0,43.058822815100534,0.6,0.7999999999999999
inf,58.461848335173144,5.0,32.69922627673894,0.4,0.8999999999999999,138.07188188799947,47.2122036625011,1.0,33.42845665108295,0.98,0.8999999999999999,147.5149214489736,49.60351452995567,3.0,32.12546544216822,1.0,0.8999999999999999,350.0,57.04,3.0,52.81021113383282,1.0,0.8999999999999999,inf,60.06666666666667,3.0,43.058822815100534,0.6,0.8999999999999999
inf,57.77281733738448,5.0,32.84121233421704,0.42,0.9999999999999999,136.92855807167908,46.81711652236438,1.0,33.026015516933,0.98,0.9999999999999999,145.44797428705434,49.08020396220068,3.0,31.3887900433331,1.0,0.9999999999999999,350.0,57.04,3.0,52.81021113383282,1.0,0.9999999999999999,inf,60.06666666666667,3.0,43.058822815100534,0.6,0.9999999999999999
inf,57.46714212729691,5.0,32.630227889400274,0.44,1.0999999999999999,135.78523425535872,46.483778062266225,1.0,32.650565783292485,0.98,1.0999999999999999,143.38102712513506,48.60781426678173,3.0,30.775357423478756,1.0,1.0999999999999999,350.0,57.04,3.0,52.81021113383282,1.0,1.0999999999999999,inf,60.06666666666667,3.0,43.058822815100534,0.6,1.0999999999999999
inf,57.024911631424075,5.0,32.570167886132886,0.5,1.2,134.64191043903833,46.20758060708297,1.0,32.35000501778834,1.0,1.2,141.3140799632158,48.2998094148736,3.0,30.409630968882276,1.0,1.2,350.0,57.04,3.0,52.81021113383282,1.0,1.2,inf,60.06666666666667,3.0,43.058822815100534,0.6,1.2
