policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
35.0,6.4,1.0,7.573638491504595,0.0,0,31.0,6.64,1.0,8.059181099838867,0.0,0,4.0,2.78,1.0,0.9754998718605759,0.0,0,inf,23.88888888888889,13.0,17.110389595177708,0.0,0,inf,27.717391304347824,3.0,14.654963610057116,0.0,0
35.0,6.398522807778015,1.0,7.572411514960706,0.52,0.1,31.0,6.063340439448515,1.0,7.210172348286865,0.82,0.1,4.0,2.78,1.0,0.9754998718605759,1.0,0.1,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.1,inf,27.717391304347824,3.0,14.654963610057116,0.0,0.1
28.501695908965903,5.469521669020582,1.0,6.1500783914782495,0.8,0.2,28.0,4.449074652289705,1.0,4.735277744701429,0.92,0.2,4.0,2.78,1.0,0.9754998718605759,1.0,0.2,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.2,inf,27.717391304347824,3.0,14.654963610057116,0.0,0.2
20.051256040447953,4.358490210056891,1.0,4.000325564088146,0.92,0.30000000000000004,17.462725275389474,3.5593609713486423,1.0,2.4785041420272518,0.96,0.30000000000000004,4.0,2.78,1.0,0.9754998718605759,1.0,0.30000000000000004,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.30000000000000004,inf,27.717391304347824,3.0,14.654963610057116,0.02,0.30000000000000004
18.085136944627344,3.967010209699932,1.0,3.401403441122516,0.96,0.4,16.70218721951072,3.3901493105574603,1.0,2.185088442782022,0.98,0.4,4.0,2.78,1.0,0.9754998718605759,1.0,0.4,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.4,inf,27.689819183030924,3.0,14.644306699128439,0.06,0.4
17.370295022772503,3.798890035476607,1.0,3.129850009629565,1.0,0.5,15.941649163631968,3.266326375364744,1.0,1.9982853124767348,1.0,0.5,4.0,2.78,1.0,0.9754998718605759,1.0,0.5,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.5,inf,27.6540476948627,3.0,14.63395335401152,0.06,0.5
14.419787110937156,3.616958924425485,1.0,2.7138563500086277,1.0,0.6,15.181111107753214,3.196891718092942,1.0,1.915373783931514,1.0,0.6,4.0,2.78,1.0,0.9754998718605759,1.0,0.6,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.6,inf,27.61827620669448,3.0,14.62752975657719,0.06,0.6
11.525312225091158,3.433205875354696,1.0,2.2391874643884777,1.0,0.7,14.420573051874463,3.1666814313632194,1.0,1.833050681013658,1.0,0.7,4.0,2.78,1.0,0.9754998718605759,1.0,0.7,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.7,inf,27.607131759907286,3.0,14.626332273951911,0.08,0.7
11.291501692327753,3.3143407122882884,1.0,1.984234314669255,1.0,0.7999999999999999,13.660034995995709,3.1482278983834755,1.0,1.7407273009203776,1.0,0.7999999999999999,4.0,2.78,1.0,0.9754998718605759,1.0,0.7999999999999999,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.7999999999999999,inf,27.604995801164286,3.0,14.626146388981166,0.08,0.7999999999999999
11.057691159564346,3.276644255741755,1.0,1.880127422810419,1.0,0.8999999999999999,12.899496940116958,3.1297743654037316,1.0,1.6502830935573474,1.0,0.8999999999999999,4.0,2.78,1.0,0.9754998718605759,1.0,0.8999999999999999,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.8999999999999999,inf,27.60285984242129,3.0,14.625974538626267,0.08,0.8999999999999999
