gradient_descent_sst best cost ci,gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst success fraction ci,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost ci,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst success fraction ci,policy_guided_gradient_descent_sst time,policy_guided_sst best cost ci,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst success fraction ci,policy_guided_sst time,rl best cost ci,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl success fraction ci,rl time,stable_sparse_rrt best cost ci,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt success fraction ci,stable_sparse_rrt time
"(33.890581816760644, 55.274376725299504, 44.582479271030074)",inf,44.582479271030074,20.989751252360897,18.518909620110986,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.9999999999999999,"(27.0715529600052, 41.0555597213421, 34.06355634067365)",inf,34.06355634067365,3.0,17.126840562452674,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.9999999999999999,"(25.416465141843105, 41.000675299678605, 33.208570220760855)",inf,33.208570220760855,5.0,19.48026269729438,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",0.9999999999999999,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.9999999999999999,"(44.76980288647066, 61.590177316916666, 53.17999010169366)",inf,53.17999010169366,20.599802033873235,18.805750316738298,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.9999999999999999
"(33.89040830507007, 55.27435028661574, 44.582379295842905)",inf,44.582379295842905,20.988551550114906,18.519036989071097,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.0999999999999999,"(27.059002718666658, 41.052021548115064, 34.05551213339086)",inf,34.05551213339086,3.0,17.137878046652876,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.0999999999999999,"(25.40712538674169, 40.99668367849822, 33.201904532619956)",inf,33.201904532619956,5.0,19.486947864695665,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.0999999999999999,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.0999999999999999,"(44.76386850142478, 61.58942663312014, 53.17664756727246)",inf,53.17664756727246,20.532951345449245,18.811545870922597,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.0999999999999999
"(33.890234790457626, 55.27432385085386, 44.58227932065574)",inf,44.58227932065574,20.98735184786892,18.519164363092045,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.2,"(27.046423717645744, 41.04851213457041, 34.04746792610808)",inf,34.04746792610808,3.0,17.148985977400056,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.2,"(25.401545361194906, 40.99467270346295, 33.19810903232893)",inf,33.19810903232893,5.0,19.491409177835063,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.2,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.2,"(44.757929869633294, 61.58868019606923, 53.17330503285126)",inf,53.17330503285126,20.46610065702525,18.81735092111876,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.2
"(33.89006127292335, 55.2742974180138, 44.582179345468575)",inf,44.582179345468575,20.98615214562293,18.519291742173742,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.3,"(27.033816012791664, 41.045031424858905, 34.03942371882528)",inf,34.03942371882528,3.0,17.160164217892138,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.3,"(25.39596080911633, 40.99266625495948, 33.1943135320379)",inf,33.1943135320379,5.0,19.495881807303938,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.3,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.3,"(44.751986995025284, 61.587938001834836, 53.16996249843006)",inf,53.16996249843006,20.39924996860126,18.823165458541098,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.3
"(33.889887752467324, 55.27427098809549, 44.582079370281406)",inf,44.582079370281406,20.984952443376944,18.519419126316063,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.4000000000000001,"(27.02117966016126, 41.04157936292372, 34.03137951154249)",inf,34.03137951154249,3.0,17.17141263081848,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.4000000000000001,"(25.390371733620597, 40.990664329873155, 33.190518031746876)",inf,33.190518031746876,5.0,19.5003657453157,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.4000000000000001,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.4000000000000001,"(44.74603988153139, 61.58720004648633, 53.16661996400886)",inf,53.16661996400886,20.33239928017727,18.82898947440042,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.4000000000000001
"(33.889714229089606, 55.27424456109888, 44.581979395094244)",inf,44.581979395094244,20.983752741130953,18.519546515518915,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.5000000000000002,"(27.00820475993539, 41.038045794936046, 34.02312527743572)",inf,34.02312527743572,3.0,17.182975854056316,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.5000000000000002,"(25.384778137827347, 40.98866692508435, 33.18672253145585)",inf,33.18672253145585,5.0,19.504860984071257,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.5000000000000002,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.5000000000000002,"(44.74008853308379, 61.58646632609154, 53.163277429587666)",inf,53.163277429587666,20.265548591753276,18.8348229599041,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.5000000000000002
"(33.889540702790235, 55.274218137023915, 44.581879419907075)",inf,44.581879419907075,20.982553038884966,18.519673909782192,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.6000000000000003,"(26.994809129432326, 41.034401095951054, 34.01460511269169)",inf,34.01460511269169,3.0,17.194918257424366,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.6000000000000003,"(25.379180024861213, 40.98667403746845, 33.18292703116483)",inf,33.18292703116483,5.0,19.50936751575904,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.6000000000000003,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.6000000000000003,"(44.734132953616204, 61.58573683671673, 53.159934895166465)",inf,53.159934895166465,20.198697903329286,18.840665906256095,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.6000000000000003
"(33.8893671735693, 55.274191715870515, 44.581779444719906)",inf,44.581779444719906,20.98135333663898,18.519801309105787,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.7000000000000004,"(26.98138538753224, 41.03078450836311, 34.00608494794768)",inf,34.00608494794768,3.0,17.206929519371116,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.7000000000000004,"(25.373577397851772, 40.98468566389584, 33.1791315308738)",inf,33.1791315308738,5.0,19.51388533255508,0.12,"[0.051674224510274105, 0.2307105142373308, 0.12]",1.7000000000000004,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.7000000000000004,"(44.72817314706382, 61.58501157442671, 53.156592360745265)",inf,53.156592360745265,20.131847214905296,18.846518304657035,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.7000000000000004
"(33.88919364142685, 55.27416529763865, 44.58167946953275)",inf,44.58167946953275,20.98015363439299,18.519928713489602,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.8000000000000005,"(26.96793359306311, 41.027195973344206, 33.99756478320366)",inf,33.99756478320366,3.0,17.219009495797973,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.8000000000000005,"(25.367773390783015, 40.9826279633111, 33.17520067704706)",inf,33.17520067704706,5.0,19.51856821566011,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.8000000000000005,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.8000000000000005,"(44.721997047286365, 61.58422883702315, 53.153112942154756)",inf,53.153112942154756,20.064996526481302,18.8525482671047,0.04,"[0.008404035138946046, 0.12217893558724946, 0.04]",1.8000000000000005
"(33.889020106362935, 55.27413888232823, 44.58157949434558)",inf,44.58157949434558,20.978953932147,18.520056122933525,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",1.9000000000000006,"(26.95445380502407, 41.02363543189521, 33.98904461845964)",inf,33.98904461845964,3.0,17.231158042187197,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.9000000000000006,"(25.361674607896486, 40.98046583405039, 33.17107022097344)",inf,33.17107022097344,5.0,19.523489032692385,0.14,"[0.06487170115051848, 0.2553250281563917, 0.14]",1.9000000000000006,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",1.9000000000000006,"(44.71367475532931, 61.582827286061715, 53.14825102069551)",inf,53.14825102069551,19.99814583805731,18.86028589076513,0.04,"[0.008404035138946046, 0.12217893558724946, 0.04]",1.9000000000000006
